0,1,2,3,4,5
1502035200000,3252.4,3276.9,3310.0,3245.8,2716.4856689100016
1502049600000,3275.4,3232.1,3294.0,3215.0,3147.34924623
1502064000000,3232.0,3260.0,3261.7,3190.0,2989.158583759999
1502078400000,3260.0,3241.4,3261.0,3230.6,1616.9068257800006
1502092800000,3241.4,3367.4,3383.4,3233.1,5391.635780670002
1502107200000,3367.4,3380.1,3440.0,3353.0,5381.050516819999
1502121600000,3381.3,3355.1,3387.9,3321.0,4836.7262313
1502136000000,3355.2,3396.0,3412.7,3340.5,4317.958733499999
1502150400000,3395.9,3449.8,3449.8,3355.6,3940.18688684
1502164800000,3449.8,3450.6,3469.0,3400.1,4942.330472900001
1502179200000,3451.1,3442.2,3483.8,3400.1,5953.8568548
1502193600000,3443.1,3382.0,3465.0,3359.9,5226.934593130001
1502208000000,3382.0,3440.0,3448.0,3340.0,7413.718480759998
1502222400000,3440.0,3415.0,3458.9,3405.2,4243.285323699999
1502236800000,3415.0,3381.6,3430.0,3344.6,4181.899131869999
1502251200000,3381.7,3403.4,3405.2,3352.0,3048.685125839998
1502265600000,3403.4,3311.9,3416.0,3255.2,8208.710087829997
1502280000000,3311.9,3282.6,3337.7,3235.1,4728.752445860002
1502294400000,3282.9,3330.0,3339.9,3267.5,2429.897721689999
1502308800000,3329.9,3340.4,3370.5,3290.1,3662.3675686100014
1502323200000,3340.3,3324.0,3352.0,3310.0,1621.34497576
1502337600000,3324.0,3393.4,3397.8,3315.6,2504.8061941000005
1502352000000,3394.9,3399.5,3425.0,3377.9,4040.5517440799954
1502366400000,3394.6,3444.6,3447.0,3377.2,3500.003177929998
1502380800000,3442.4,3412.2,3444.3,3382.9,2924.0096925600005
1502395200000,3412.2,3405.0,3440.0,3354.0,4539.283602509999
1502409600000,3404.9,3420.1,3429.6,3380.0,2241.563664609998
1502424000000,3419.3,3486.9,3496.9,3416.0,4436.462732050001
1502438400000,3486.4,3488.9,3496.9,3458.4,3076.1210773400003
1502452800000,3488.9,3542.1,3551.4,3488.8,5992.091214699999
1502467200000,3542.0,3534.0,3545.9,3511.0,3061.3256146299987
1502481600000,3534.0,3643.4,3695.0,3533.8,7612.8175753
1502496000000,3642.4,3663.0,3675.4,3589.5,3018.121456680003
1502510400000,3661.2,3774.3,3786.2,3652.7,6325.418390430003
1502524800000,3774.3,3754.5,3781.5,3707.2,3640.0576899
1502539200000,3754.6,3868.1,3889.9,3715.0,6627.0816218
1502553600000,3869.2,3887.0,3970.1,3795.5,11423.959461200006
1502568000000,3887.0,3866.2,3887.1,3726.0,6626.00171284
1502582400000,3865.7,4041.7,4099.0,3861.5,11827.798143
1502596800000,4044.1,4149.9,4160.0,3963.3,6353.872833450001
1502611200000,4149.8,3995.1,4190.0,3901.0,9801.7550676
1502625600000,3995.1,4018.1,4050.0,3834.2,9497.609972200002
1502640000000,4018.1,3961.9,4092.0,3946.3,5687.152246899997
1502654400000,3962.0,4061.6,4139.6,3961.9,5044.806327510001
1502668800000,4061.0,3978.5,4105.0,3951.0,3170.3177012
1502683200000,3978.9,4069.6,4092.6,3969.6,2145.723587859999
1502697600000,4069.5,4160.8,4234.0,4069.5,8914.2959877
1502712000000,4160.6,4230.5,4295.0,4130.5,7984.1784529
1502726400000,4231.0,4209.9,4320.0,4184.3,7856.3821952
1502740800000,4210.0,4320.8,4330.3,4195.0,4114.73265102
1502755200000,4321.0,4401.9,4430.0,4312.7,6348.2659757
1502769600000,4400.0,4298.6,4420.8867,4206.0,9785.7306756
1502784000000,4298.7,4120.6,4330.6,3922.4,15682.830411400004
1502798400000,4120.0,3983.3,4133.0,3832.5,17249.109604300003
1502812800000,3985.3,4043.0,4144.8,3952.2,8380.874123500002
1502827200000,4043.0,4151.8,4199.0,3992.9,6664.223616860004
1502841600000,4151.9,4070.8,4193.5,4025.3,4435.15613926
1502856000000,4070.8,4074.2,4127.0,3925.1,6899.217061320003
1502870400000,4074.2,4076.5,4179.0,4053.3,4855.506339839998
1502884800000,4076.6,4310.4,4323.7,4030.0,7642.551729259999
1502899200000,4311.0,4314.4,4380.0,4251.0,5817.770903660002
1502913600000,4314.4,4386.4,4405.0,4278.3,5642.107069029998
1502928000000,4386.3,4280.0,4427.0,4242.9,5503.007706330002
1502942400000,4280.0,4370.1,4370.1,4246.0,3344.69671421
